학과공지
번호,제목,작성자,작성일,조회,파일,링크
129,"2022-2 컴퓨터공학과, 컴퓨터공학전공 교과목 추가신청(선착순) 일정 등 안내
새글",이은수,2022.08.24,8,,https://www.kongju.ac.kr//bbs/ZD1140/1410/258542/artclView.do
128,2021학년도 후기 학위수여식,이은수,2022.08.16,55,,https://www.kongju.ac.kr//bbs/ZD1140/1410/258241/artclView.do
127,[중요]2022년도 2학기 수강신청 관련 안내,이은수,2022.08.03,415,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1410/257801/artclView.do
126,2022학년도 2학기 학부 수강신청 일정,이은수,2022.07.25,267,,https://www.kongju.ac.kr//bbs/ZD1140/1410/257378/artclView.do
125,2022학년도 2학기 등록금 납부 일정,이은수,2022.07.18,276,,https://www.kongju.ac.kr//bbs/ZD1140/1410/257071/artclView.do

특강공지
번호,제목,작성자,작성일,조회,파일,링크
49,"대전·세종·충남지역혁신플랫폼 2022학년도 DSC 공유대학 AIFB Basic 자격증 프로
새글",이은수,2022.08.22,4,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1415/258453/artclView.do
48,취업역량 강화를 위한 프로젝트 중심 AI 심화교육 참가자 모집,이은수,2022.08.11,380,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1415/258102/artclView.do
47,"2022학년도 제1회~5회 찾아가는 창업특강 개최 안내(학세직, K밸류업1 실적 인정)",이은수,2022.07.18,15,,https://www.kongju.ac.kr//bbs/ZD1140/1415/257073/artclView.do
46,2022년 폭력(성폭력·가정폭력) 예방교육(K밸류업1 실적 인정),이은수,2022.06.09,32,,https://www.kongju.ac.kr//bbs/ZD1140/1415/255558/artclView.do
45,2022학년도 자기주도학습역량 강화를 위한 지식콘텐츠「지감인(智感仁)」(K밸류업1 실적 인,이은수,2022.05.26,31,,https://www.kongju.ac.kr//bbs/ZD1140/1415/254911/artclView.do

취업정보
번호,제목,작성자,작성일,조회,파일,링크
45,"DSC 공유대학 공기업·공공기관 취업대전
새글",이은수,2022.08.22,2,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1416/258454/artclView.do
44,SNET GROUP 클라우드/가상화 엔지니어 양성과정,이은수,2022.08.10,72,,https://www.kongju.ac.kr//bbs/ZD1140/1416/258028/artclView.do
43,2022학년도 2학기 「(주) 선도소프트」 현장실습 지원자 모집,이은수,2022.07.25,33,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1416/257379/artclView.do
42,STA테스팅컨설팅 사원 급구(2022년 4월),이은수,2022.04.06,42,,https://www.kongju.ac.kr//bbs/ZD1140/1416/252795/artclView.do
41,한국도로공사 데이터분석 전문가 채용,이은수,2021.07.06,84,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1416/209170/artclView.do

