항공사,이벤트혜택,출발시간,도착시간,소요시간,가격,카드혜택,혜택가격
제주항공,1%적립이벤트혜택,19:30GMP,20:40CJU,01시간 10분,"특가석편도 41,600원~",네이버페이 결제시 1% 적립,"편도 41,184원~"
제주항공,1%적립이벤트혜택,20:05GMP,21:15CJU,01시간 10분,"특가석편도 41,600원~",네이버페이 결제시 1% 적립,"편도 41,184원~"
제주항공,1%적립이벤트혜택,20:30GMP,21:40CJU,01시간 10분,"특가석편도 41,600원~",네이버페이 결제시 1% 적립,"편도 41,184원~"
진에어,1%적립이벤트혜택,21:05GMP,22:15CJU,01시간 10분,"특가석편도 43,600원~","네이버페이 결제시 1%+1,500원 적립","편도 41,664원~"
에어서울,없음,18:00GMP,19:10CJU,01시간 10분,"특가석편도 46,600원~",KB국민카드 결제시 3% 청구할인,"편도 45,240원~"
에어서울,없음,19:10GMP,20:20CJU,01시간 10분,"특가석편도 46,600원~",KB국민카드 결제시 3% 청구할인,"편도 45,240원~"
티웨이항공,1%적립이벤트혜택,17:25GMP,18:35CJU,01시간 10분,"할인석편도 46,970원~","네이버페이 결제시 1%+1,500원 적립","편도 45,001원~"
티웨이항공,1%적립이벤트혜택,18:10GMP,19:20CJU,01시간 10분,"할인석편도 46,970원~","네이버페이 결제시 1%+1,500원 적립","편도 45,001원~"
진에어,1%적립이벤트혜택,19:20GMP,20:30CJU,01시간 10분,"특가석편도 47,400원~","네이버페이 결제시 1%+1,500원 적립","편도 45,426원~"
진에어,1%적립이벤트혜택,19:55GMP,21:10CJU,01시간 15분,"특가석편도 48,400원~","네이버페이 결제시 1%+1,500원 적립","편도 46,416원~"
대한항공,없음,20:30GMP,21:40CJU,01시간 10분,"특가석편도 48,700원~",롯데카드 결제시 3.2% 캐시백,"편도 47,160원~"
에어부산,없음,17:45GMP,18:55CJU,01시간 10분,"할인석편도 49,140원~",롯데카드 결제시 2.5% 캐시백,"편도 47,900원~"
에어부산,없음,18:10GMP,19:20CJU,01시간 10분,"할인석편도 49,140원~",롯데카드 결제시 2.5% 캐시백,"편도 47,900원~"
제주항공,1%적립이벤트혜택,20:30GMP,21:40CJU,01시간 10분,"특가석편도 49,600원~",네이버페이 결제시 1% 적립,"편도 49,104원~"
아시아나항공,1%적립이벤트혜택,18:45GMP,19:55CJU,01시간 10분,"특가석편도 50,700원~","네이버페이 결제시 1%+1,500원 적립","편도 48,693원~"
아시아나항공,1%적립이벤트혜택,18:55GMP,20:05CJU,01시간 10분,"특가석편도 50,700원~","네이버페이 결제시 1%+1,500원 적립","편도 48,693원~"
아시아나항공,1%적립이벤트혜택,19:20GMP,20:35CJU,01시간 15분,"특가석편도 50,700원~","네이버페이 결제시 1%+1,500원 적립","편도 48,693원~"
아시아나항공,1%적립이벤트혜택,20:50GMP,22:00CJU,01시간 10분,"특가석편도 50,700원~","네이버페이 결제시 1%+1,500원 적립","편도 48,693원~"
아시아나항공,1%적립이벤트혜택,21:20GMP,22:30CJU,01시간 10분,"특가석편도 50,700원~","네이버페이 결제시 1%+1,500원 적립","편도 48,693원~"
진에어,1%적립이벤트혜택,19:20GMP,20:30CJU,01시간 10분,"할인석편도 51,200원~","네이버페이 결제시 1%+1,500원 적립","편도 49,188원~"
