N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,700",300,+0.50%,100,"3,623,658","5,969,783",49.73,"6,028,942",9.53,13.92,
2,LG에너지솔루션,"450,500","3,000",-0.66%,500,"1,054,170","234,000",4.07,"102,803",143.56,10.68,
3,SK하이닉스,"95,600","1,500",-1.54%,"5,000","695,970","728,002",49.98,"722,487",6.57,16.84,
4,삼성바이오로직스,"878,000","7,000",+0.80%,"2,500","624,908","71,174",10.77,"16,917",122.59,8.21,
5,LG화학,"652,000","6,000",-0.91%,"5,000","460,262","70,592",47.79,"51,199",16.73,18.47,
6,삼성전자우,"55,800",100,-0.18%,100,"459,171","822,887",71.93,"146,115",8.76,N/A,
7,삼성SDI,"622,000","7,000",-1.11%,"5,000","427,715","68,765",43.70,"88,889",31.45,8.45,
8,NAVER,"251,500","6,500",-2.52%,100,"412,583","164,049",53.21,"270,206",30.58,106.72,
9,현대차,"186,500","3,500",-1.84%,"5,000","398,491","213,668",27.87,"740,658",9.93,6.84,
10,카카오,"79,200",900,-1.12%,100,"352,558","445,150",28.87,"574,051",14.27,17.10,
11,기아,"77,000","1,700",-2.16%,"5,000","312,130","405,363",36.47,"1,082,422",6.56,14.69,
12,셀트리온,"204,500","7,500",-3.54%,"1,000","287,919","140,792",21.00,"216,119",57.03,16.04,
13,삼성물산,"121,500",0,0.00%,100,"227,068","186,887",16.39,"65,096",17.28,5.40,
14,POSCO홀딩스,"256,000","2,000",-0.78%,"5,000","223,198","87,187",52.87,"122,059",3.06,13.97,
15,KB금융,"50,900","1,000",-1.93%,"5,000","209,887","412,352",73.01,"204,066",4.60,9.80,
16,현대모비스,"211,000","6,500",-2.99%,"5,000","199,549","94,573",34.80,"180,339",8.80,6.87,
17,SK이노베이션,"209,000","1,000",-0.48%,"5,000","193,253","92,466",25.52,"171,355",7.64,1.91,
18,신한지주,"35,750",300,-0.83%,"5,000","183,374","512,934",61.68,"250,304",4.52,8.80,
19,SK,"236,000",500,-0.21%,200,"174,992","74,149",22.24,"46,684",5.75,10.19,
20,LG전자,"102,000","1,500",-1.45%,"5,000","166,921","163,648",26.57,"369,989",14.64,6.32,
21,카카오뱅크,"31,650",750,-2.31%,"5,000","150,762","476,341",12.37,"323,854",64.07,4.91,
22,한국전력,"21,550",150,-0.69%,"5,000","138,343","641,964",14.87,"481,119",-1.22,-7.99,
23,두산에너빌리티,"21,250",50,+0.24%,"5,000","135,640","638,308",10.67,"1,795,603",31.86,10.67,
24,LG,"84,700",100,+0.12%,"5,000","133,234","157,301",36.27,"45,530",4.79,12.36,
25,크래프톤,"258,500","7,000",-2.64%,100,"126,851","49,072",28.76,"47,583",21.26,17.86,
26,삼성생명,"62,300",500,-0.80%,500,"124,600","200,000",13.27,"28,506",19.14,4.01,
27,포스코케미칼,"159,500","1,000",+0.63%,500,"123,554","77,463",7.20,"249,577",94.71,7.92,
28,현대중공업,"134,500","1,000",-0.74%,"5,000","119,400","88,773",5.76,"45,557",-10.91,-14.87,
29,HMM,"23,400",50,-0.21%,"5,000","114,435","489,039",8.82,"532,338",0.98,88.62,
30,하나금융지주,"38,650",600,-1.53%,"5,000","114,367","295,903",72.10,"435,292",3.23,10.86,
31,LG생활건강,"723,000","3,000",-0.41%,"5,000","112,920","15,618",37.72,"9,328",18.32,16.65,
32,SK텔레콤,"51,300",0,0.00%,100,"112,261","218,833",47.66,"225,975",8.84,13.63,
33,고려아연,"593,000","4,000",-0.67%,"5,000","111,899","18,870",19.94,"16,680",14.82,11.07,
34,KT&G,"81,200",100,-0.12%,"5,000","111,482","137,292",39.84,"31,556",11.52,10.74,
35,S-Oil,"92,100",800,+0.88%,"2,500","103,689","112,583",82.16,"166,098",5.64,21.76,
36,삼성에스디에스,"133,500","1,000",-0.74%,500,"103,299","77,378",13.36,"40,294",15.83,8.80,
37,삼성전기,"137,500",500,+0.36%,"5,000","102,704","74,694",25.54,"98,627",10.95,14.29,
38,KT,"38,000",300,-0.78%,"5,000","99,222","261,112",45.61,"169,520",6.78,9.36,
39,대한항공,"26,600",400,-1.48%,"5,000","97,947","368,221",13.53,"424,269",6.22,11.60,
40,삼성화재,"199,000","1,000",+0.51%,500,"94,276","47,375",49.54,"29,527",8.88,7.09,
41,카카오페이,"71,000","2,200",-3.01%,500,"94,140","132,592",43.66,"175,058",-358.59,-2.45,
42,SK바이오사이언스,"122,500","6,000",-4.67%,500,"94,060","76,784",3.79,"297,492",28.06,38.08,
43,한화솔루션,"47,400",850,+1.83%,"5,000","90,666","191,278",20.65,"1,492,717",26.09,8.79,
44,우리금융지주,"12,250",200,-1.61%,"5,000","89,187","728,061",39.94,"589,396",3.22,10.59,
45,엔씨소프트,"384,000","1,500",+0.39%,500,"84,303","21,954",41.86,"30,376",17.39,12.62,
46,LG이노텍,"351,000","1,500",+0.43%,"5,000","83,072","23,667",25.89,"66,201",9.19,30.94,
47,하이브,"182,000","4,000",-2.15%,500,"75,263","41,353",15.29,"83,356",32.07,6.83,
48,아모레퍼시픽,"126,500","1,500",-1.17%,500,"73,993","58,493",25.71,"40,422",49.65,4.20,
49,기업은행,"9,720",60,-0.61%,"5,000","72,346","744,301",13.50,"246,244",3.12,9.21,
50,현대글로비스,"182,000","5,500",-2.93%,500,"68,250","37,500",45.73,"55,472",7.22,14.41,
