학,과,공,지,사,항
학과공지
번호,제목,작성자,작성일,조회,파일,링크
129,"2022-2 컴퓨터공학과, 컴퓨터공학전공 교과목 추가신청(선착순) 일정 등 안내
새글",이은수,2022.08.24,8,,https://www.kongju.ac.kr//bbs/ZD1140/1410/258542/artclView.do
128,2021학년도 후기 학위수여식,이은수,2022.08.16,55,,https://www.kongju.ac.kr//bbs/ZD1140/1410/258241/artclView.do
127,[중요]2022년도 2학기 수강신청 관련 안내,이은수,2022.08.03,415,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1410/257801/artclView.do
126,2022학년도 2학기 학부 수강신청 일정,이은수,2022.07.25,267,,https://www.kongju.ac.kr//bbs/ZD1140/1410/257378/artclView.do
125,2022학년도 2학기 등록금 납부 일정,이은수,2022.07.18,276,,https://www.kongju.ac.kr//bbs/ZD1140/1410/257071/artclView.do

특강공지
번호,제목,작성자,작성일,조회,파일,링크
49,"대전·세종·충남지역혁신플랫폼 2022학년도 DSC 공유대학 AIFB Basic 자격증 프로
새글",이은수,2022.08.22,4,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1415/258453/artclView.do
48,취업역량 강화를 위한 프로젝트 중심 AI 심화교육 참가자 모집,이은수,2022.08.11,380,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1415/258102/artclView.do
47,"2022학년도 제1회~5회 찾아가는 창업특강 개최 안내(학세직, K밸류업1 실적 인정)",이은수,2022.07.18,15,,https://www.kongju.ac.kr//bbs/ZD1140/1415/257073/artclView.do
46,2022년 폭력(성폭력·가정폭력) 예방교육(K밸류업1 실적 인정),이은수,2022.06.09,32,,https://www.kongju.ac.kr//bbs/ZD1140/1415/255558/artclView.do
45,2022학년도 자기주도학습역량 강화를 위한 지식콘텐츠「지감인(智感仁)」(K밸류업1 실적 인,이은수,2022.05.26,31,,https://www.kongju.ac.kr//bbs/ZD1140/1415/254911/artclView.do

취업정보
번호,제목,작성자,작성일,조회,파일,링크
45,"DSC 공유대학 공기업·공공기관 취업대전
새글",이은수,2022.08.22,2,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1416/258454/artclView.do
44,SNET GROUP 클라우드/가상화 엔지니어 양성과정,이은수,2022.08.10,72,,https://www.kongju.ac.kr//bbs/ZD1140/1416/258028/artclView.do
43,2022학년도 2학기 「(주) 선도소프트」 현장실습 지원자 모집,이은수,2022.07.25,33,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1416/257379/artclView.do
42,STA테스팅컨설팅 사원 급구(2022년 4월),이은수,2022.04.06,42,,https://www.kongju.ac.kr//bbs/ZD1140/1416/252795/artclView.do
41,한국도로공사 데이터분석 전문가 채용,이은수,2021.07.06,84,첨부파일있음,https://www.kongju.ac.kr//bbs/ZD1140/1416/209170/artclView.do

학,교,공,지,사,항
학생소식
번호,제목,작성자,작성일,조회,파일,링크
일반공지,"[장학, 필독] 2022학년도 2학기 국가장학금 이수학점 심사기준 변경 안내",학생복지과,2022-05-09,6137,0,https://www.kongju.ac.kr//bbs/kongju/1521/254076/artclView.do
7206,"[공통]
2022학년도 가을학기 외국어교육과정 모집 안내
새글",국제언어교육원,2022.08.23,503,,https://www.kongju.ac.kr//bbs/kongju/1521/258525/artclView.do
7205,"[Kongju:공주]
공주캠퍼스 소비조합 교직원 & 학생식당  선행근로학생 모집
새글",소비조합,2022.08.23,661,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258510/artclView.do
7204,"(장학)2022학년도 2학기 근로 장학생(국가, 선행 및 연구지원근로) 선발 안내
새글",학생복지과,2022.08.23,2113,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258509/artclView.do
7203,"[Kongju:공주]
(장학)학생복지과 통학버스 근로장학생 모집
새글",학생복지과,2022.08.22,1295,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258465/artclView.do

행정소식
번호,제목,작성자,작성일,조회,파일,링크
2344,"2022년 공공기관 종합청렴도 평가 관련 개인정보 제3자 제공사항 공고
새글",총무과,2022.08.19,41,,https://www.kongju.ac.kr//bbs/kongju/1522/258361/artclView.do
2343,[LINC 3.0] 1차년도(2022) 산학공동 기술개발과제 공모,3단계 산학연협력 선도대학 육성사업단,2022.08.12,217,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1522/258152/artclView.do
